title,genre,gross,release_year
Super Mario Bros.,Action,20844907,1982
Somewhere in Time,Drama,9709597,1994
Smoke Signals,Comedy,6719300,1932
Serial Mom,Comedy,7881335,1949
Sommersturm,Drama,95204,1990
Silent Movie,Comedy,36145695,1915
The Santa Clause,Comedy,144833357,1936
The Singles Ward,Comedy,1250798,1963
Sense and Sensibility,Drama,42993774,1917
Solitude,Drama,6260,1953
The Sound of Music,Musical,163214286,1942
She's the One,Romantic Comedy,9482579,1988
Spaceballs,Comedy,38119483,1961
Speed,Action,121248145,1992
Species,Action,60054449,1942
Sphinx,Thriller/Suspense,2000000,1997
Spaced Invaders,Comedy,15000000,1935
Splash,Comedy,62599495,1920
Superman IV: The Quest for Peace,Action,11227824,1929
Superman II,Adventure,108185706,1979
Superman III,Adventure,59950623,1998
Superman,Adventure,134218018,1922
The Specialist,Action,57362581,1912
Sisters in Law,Documentary,33312,1958
Smilla's Sense of Snow,Thriller/Suspense,2221994,1921
Assassins,Action,30306268,1982
Star Trek: The Motion Picture,Adventure,82258456,1927
Star Trek III: The Search for Spock,Adventure,76471046,1940
Star Trek IV: The Voyage Home,Adventure,109713132,1928
Stand by Me,Drama,52287414,1956
Stone Cold,Action,9286314,1980
Street Fighter,Action,33423000,1927
Star Trek II: The Wrath of Khan,Adventure,79912963,1980
Stonewall,Drama,304602,1915
Star Trek V: The Final Frontier,Action,52210049,1979
Star Trek VI: The Undiscovered Country,Action,74888996,1938
Star Trek: Generations,Adventure,75671262,1936
Stripes,Comedy,85300000,1920
Striptease,Comedy,32773011,1916
Star Wars Ep. IV: A New Hope,Adventure,460998007,1952
Saints and Soldiers,Drama,1310470,1953
Steppin: The Movie,Comedy,0,1957
Sugar Hill,Drama,18272447,1939
Shichinin no samurai,Action,271736,1950
The Spy Who Loved Me,Action,46800000,1953
The Swindle,Comedy,245359,1968
Swingers,Comedy,4505922,1934
Snow White and the Seven Dwarfs,Musical,184925485,1960
The Sweet Hereafter,Drama,4306697,1997
Sex with Strangers,Documentary,247740,1987
Spy Hard,Comedy,26936265,1980
Tango,Drama,1687311,1960
The Age of Innocence,Drama,32014993,1916
Talk Radio,Drama,3468572,1927
The Texas Chainsaw Massacre,Horror,26572439,1979
The Texas Chainsaw Massacre 2,Horror,8025872,1948
Timecop,Action,44853581,1977
Tin Cup,Romantic Comedy,53854588,1987
To Die For,Black Comedy,21284514,1918
Teen Wolf Too,Comedy,7888000,1959
The Fan,Thriller/Suspense,18582965,1962
Timber Falls,Horror,0,1912
Tae Guik Gi: The Brotherhood of War,Drama,1110186,1955
The Incredibly True Adventure of Two Girls in Love,Drama,2210408,1965
There Goes My Baby,Comedy,125169,1930
Tank Girl,Action,4064333,1996
Top Gun,Action,176786701,1928
Thunderball,Action,63600000,1978
The Craft,Thriller/Suspense,24769466,1976
It Happened One Night,Romantic Comedy,2500000,1946
The Net,Thriller/Suspense,50621733,1941
La otra conquista,Drama,886410,1939
They Live,Thriller/Suspense,13000000,1943
Tales from the Hood,Horror,11784569,1956
Time Bandits,Adventure,37400000,1985
Tombstone,Western,56505000,1915
Time Changer,Drama,1500711,1967
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Adventure,78656813,1943
Teenage Mutant Ninja Turtles III,Adventure,42273609,1915
Tango & Cash,Action,63408614,1930
Teenage Mutant Ninja Turtles,Adventure,135265915,1958
Taps,Drama,35856053,1910
Trainspotting,Drama,16501785,1961
Troop Beverly Hills,Comedy,7190505,1940
Trekkies,Documentary,617172,1949
True Lies,Action,146282411,1980
Terminator 2: Judgment Day,Action,204859496,1947
Travellers and Magicians,Drama,506793,1988
The Terminator,Action,38019031,1997
Tremors,Action,16667084,1958
True Romance,Thriller/Suspense,12281000,1920
Tron,Action,26918576,1944
Trois,Thriller/Suspense,1161843,1951
Things to Do in Denver when You're Dead,Black Comedy,529766,1967
A Time to Kill,Drama,108766007,1941
Total Recall,Action,119394839,1952
This Thing of Ours,Drama,37227,1971
Tootsie,Comedy,177200000,1930
That Thing You Do!,Drama,25857416,1931
Twins,Comedy,111936388,1979
Twister,Action,241888385,1969
Taxi Driver,Drama,21100000,1930
Toy Story,Adventure,191796233,1919
Twilight Zone: The Movie,Horror,29500000,1980
Unforgettable,Thriller/Suspense,2483790,1984
Ulee's Gold,Drama,9054736,1932
Under Siege 2: Dark Territory,Action,50024083,1915
The Untouchables,Action,76270454,1960
Under the Rainbow,Comedy,18826490,1990
Veer-Zaara,Drama,2938532,1990
Videodrome,Horror,2120439,1975
Les Visiteurs,Comedy,659000,1960
"Couloirs du temps: Les visiteurs 2, Les",Comedy,146072,1995
Vampire in Brooklyn,Horror,19637147,1986
The Verdict,Drama,53977250,1936
Virtuosity,Action,23998226,1994
A View to a Kill,Action,50327960,1910
The Work and the Glory: American Zion,Drama,2025032,1961
A Walk on the Moon,Drama,4741987,1986
The Work and the Glory,Drama,3347647,1957
The Work and the Story,Comedy,16137,1926
What the #$'! Do We Know,Documentary,10941801,1926
Waiting for Guffman,Comedy,2922988,1920
Who Framed Roger Rabbit?,Comedy,154112492,1960
White Fang,Adventure,34729091,1935
White Squall,Adventure,10229300,1977
What's Eating Gilbert Grape,Drama,9170214,1916
Witchboard,Horror,7369373,1985
The Wiz,Musical,13000000,1951
Walking and Talking,Romantic Comedy,1287480,1969
The Wild Bunch,Western,509424,1920
Wall Street,Drama,43848100,1957
We're No Angels,Comedy,10555348,1946
Wolf,Thriller/Suspense,65011757,1990
Warriors of Virtue,Action,6448817,1948
War Games,Thriller/Suspense,74433837,1930
Warlock,Horror,8824553,1918
Warlock: The Armageddon,Horror,3902679,1978
When The Cat's Away,Comedy,1652472,1960
Welcome to the Dollhouse,Comedy,4198137,1988
Witness,Thriller/Suspense,65532576,1956
Waterworld,Action,88246220,1951
Wayne's World,Comedy,121697323,1925
Wyatt Earp,Western,25052000,1995
The Wizard of Oz,Musical,28202232,1911
Executive Decision,Thriller/Suspense,56679192,1939
The Exorcist,Horror,204632868,1910
Extreme Measures,Drama,17378193,1950
Eye for an Eye,Drama,26792700,1960
Young Guns,Western,44726644,1967
Yentl,Musical,39012241,1912
You Only Live Twice,Action,43100000,1975
Ayurveda: Art of Being,Documentary,16892,1952
Young Sherlock Holmes,Adventure,19739000,1965
102 Dalmatians,Comedy,66941559,1916
Ten Things I Hate About You,Romantic Comedy,38177966,1920
"10,000 B.C.",Adventure,94784201,1991
10th & Wolf,Drama,54702,1981
Cloverfield,Action,80048433,1959
12 Rounds,Action,12234694,1942
Thirteen Conversations About One Thing,Drama,3287435,1921
13 Going On 30,Comedy,57139723,1986
Thirteen Ghosts,Horror,41867960,1937
1408,Horror,71985628,1934
15 Minutes,Thriller/Suspense,24375436,1936
16 to Life,Romantic Comedy,10744,1921
16 Blocks,Action,36895141,1963
First Daughter,Romantic Comedy,9055010,1923
2012,Action,166112167,1991
2046,Drama,1442338,1988
20 Dates,Comedy,541636,1943
21,Thriller/Suspense,81159365,1914
21 Grams,Drama,16248701,1982
25th Hour,Drama,13084595,1990
28 Days,Comedy,37035515,1978
28 Days Later...,Horror,45064915,1960
28 Weeks Later,Horror,28638916,1942
Two Brothers,Drama,18947630,1989
Cop Out,Comedy,44875481,1910
Two Lovers,Drama,3149034,1927
2 For the Money,Drama,22991379,1960
Secondhand Lions,Drama,42023715,1927
Two Can Play That Game,Romantic Comedy,22235901,1924
Two Weeks Notice,Romantic Comedy,93354918,1967
300,Action,210614939,1923
30 Days of Night,Horror,39568996,1970
Three Kings,Action,60652036,1941
3000 Miles to Graceland,Drama,15738632,1952
3 Strikes,Comedy,9821335,1976
3:10 to Yuma,Western,53606916,1913
40 Days and 40 Nights,Romantic Comedy,37939782,1940
The 40 Year-old Virgin,Comedy,109449237,1922
Four Brothers,Drama,74494381,1928
Four Christmases,Comedy,120146040,1991
The Four Feathers,Drama,18306166,1930
The Fourth Kind,Thriller/Suspense,26218170,1940
"4 luni, 3 saptamani si 2 zile",Drama,1196321,1956
50 First Dates,Romantic Comedy,120776832,1930
The 6th Day,Action,34543701,1970
Seven Pounds,Drama,69951824,1940
88 Minutes,Thriller/Suspense,16930884,1998
Eight Below,Adventure,81612565,1933
Eight Legged Freaks,Comedy,17266505,1993
8 Mile,Drama,116724075,1943
8 femmes,Musical,3076425,1968
9,Adventure,31749894,1940
Nine Queens,Drama,1222889,1982
The Whole Ten Yards,Comedy,16323969,1980
The Whole Nine Yards,Comedy,57262492,1990
About a Boy,Romantic Comedy,40803000,1948
A Bug's Life,Adventure,162798565,1920
Abandon,Thriller/Suspense,10719367,1954
Absolute Power,Thriller/Suspense,50068310,1935
Tristram Shandy: A Cock and Bull Story,Comedy,1253413,1950
Adaptation,Comedy,22498520,1920
Anything Else,Romantic Comedy,3203044,1955
Antwone Fisher,Drama,21078145,1937
Aeon Flux,Action,25857987,1994
After the Sunset,Action,28328132,1986
A Good Year,Drama,7459300,1970
Agora,Drama,599903,1986
Air Bud,Comedy,24646936,1968
Air Force One,Action,172956409,1973
Akeelah and the Bee,Drama,18848430,1995
All the King's Men,Drama,7221458,1963
The Alamo,Western,22406362,1918
All About the Benjamins,Comedy,25482931,1937
Albino Alligator,Drama,353480,1965
Sweet Home Alabama,Comedy,127214072,1911
Fat Albert,Comedy,48114556,1930
Alice in Wonderland,Adventure,334191110,1930
Alfie,Comedy,13395939,1997
It's All Gone Pete Tong,Drama,120620,1983
Ali,Drama,58183966,1986
Alien: Resurrection,Action,47795018,1987
Alien,Horror,80930630,1953
A Lot Like Love,Comedy,21835784,1996
All the Pretty Horses,Western,15527125,1951
Almost Famous,Comedy,32522352,1992
Evan Almighty,Comedy,100289690,1980
Bruce Almighty,Comedy,242704995,1925
All or Nothing,Drama,184255,1995
Alone in the Dark,Horror,5178569,1923
Alpha and Omega 3D,Adventure,10115431,1940
Along Came a Spider,Thriller/Suspense,74058698,1957
The Dangerous Lives of Altar Boys,Drama,1779284,1996
Alatriste,Adventure,0,1997
Alvin and the Chipmunks,Comedy,217326974,1935
Alex & Emma,Drama,14208384,1951
Alexander,Adventure,34297191,1970
El Crimen de Padre,Drama,5719000,1956
American Beauty,Drama,130058047,1996
An American Carol,Comedy,7013191,1993
American Dreamz,Black Comedy,7314027,1910
Amelia,Drama,14246488,1992
Le Fabuleux destin d'AmÈlie Poulain,Comedy,33201661,1900
American History X,Drama,6719864,1953
American Gangster,Drama,130164645,1960
An American Haunting,Horror,16298046,1935
Amistad,Drama,44212592,1924
AimÈe & Jaguar,Drama,927107,1948
Amores Perros,Drama,5383834,1970
American Pie 2,Comedy,145096820,1961
American Wedding,Comedy,104354205,1970
American Pie,Comedy,101800948,1947
American Psycho,Black Comedy,15070285,1914
American Splendor,Drama,6003587,1920
America's Sweethearts,Romantic Comedy,93607673,1919
The Amityville Horror,Horror,65233369,1913
Anacondas: The Hunt for the Blood Orchid,Horror,31526393,1960
Anaconda,Horror,65598907,1928
Anastasia,Musical,58403409,1972
Anchorman: The Legend of Ron Burgundy,Comedy,84136909,1982
Angels & Demons,Thriller/Suspense,133375846,1957
Angela's Ashes,Drama,13038660,1900
Angel Eyes,Drama,24044532,1998
Anger Management,Comedy,135560942,1954
A Night at the Roxbury,Comedy,30331165,1989
The Animal,Comedy,55762229,1927
Anna and the King,Drama,39251128,1960
Analyze That,Comedy,32122249,1922
Analyze This,Comedy,106885658,1960
The Ant Bully,Adventure,28142535,1958
Antitrust,Thriller/Suspense,10965209,1937
Marie Antoinette,Drama,15962471,1914
Antz,Adventure,90757863,1964
Anywhere But Here,Drama,18653615,1932
Appaloosa,Western,20211394,1926
Apocalypto,Adventure,50866635,1920
Pieces of April,Comedy,2528664,1911
The Apostle,Drama,20733485,1930
Aquamarine,Comedy,18597342,1900
Ararat,Drama,1693000,1965
Are We There Yet?,Romantic Comedy,82674398,1952
Arlington Road,Thriller/Suspense,24419219,1995
Armageddon,Adventure,201578182,1930
Hey Arnold! The Movie,Adventure,13684949,1965
Against the Ropes,Drama,5881504,1989
King Arthur,Adventure,51877963,1990
Arthur et les Minimoys,Adventure,15132763,1921
Artificial Intelligence: AI,Drama,78616689,1900
The Art of War,Thriller/Suspense,30199105,1953
Astro Boy,Adventure,19551067,1939
A Serious Man,Comedy,9228788,1976
The Astronaut Farmer,Drama,11003643,1936
As Good as it Gets,Romantic Comedy,148478011,1976
A Single Man,Drama,9176000,1932
A Simple Plan,Drama,16316273,1923
Assault On Precinct 13,Action,20040895,1990
The Astronaut's Wife,Thriller/Suspense,10672566,1970
The A-Team,Action,77222099,1928
At First Sight,Drama,22365133,1990
Aqua Teen Hunger Force: The Movie,Comedy,5520368,1974
ATL,Comedy,21170563,1918
Atlantis: The Lost Empire,Adventure,84052762,1922
Hearts in Atlantis,Drama,24185781,1971
Autumn in New York,Drama,37752931,1967
Atonement,Drama,50980159,1915
The Rules of Attraction,Black Comedy,6525762,1927
August Rush,Drama,31664162,1929
Across the Universe,Musical,24343673,1950
Austin Powers: The Spy Who Shagged Me,Comedy,206040085,1949
Austin Powers in Goldmember,Comedy,213117789,1917
Austin Powers: International Man of Mystery,Comedy,53883989,1962
Australia,Drama,49551662,1971
Auto Focus,Drama,2062066,1975
Avatar,Action,760167650,1969
The Avengers,Action,23385416,1911
The Aviator,Drama,102608827,1910
AVP: Alien Vs. Predator,Horror,80281096,1940
Around the World in 80 Days,Adventure,24004159,1912
Awake,Thriller/Suspense,14373825,1973
And When Did You Last See Your Father?,Drama,1071240,1944
Away We Go,Comedy,9451946,1969
Don't Say a Word,Thriller/Suspense,54997476,1930
Babe: Pig in the City,Adventure,18319860,1993
Babel,Drama,34302837,1996
Babylon A.D.,Action,22532572,1937
My Baby's Daddy,Comedy,17321573,1927
Super Babies: Baby Geniuses 2,Comedy,9109322,1998
Baby Geniuses,Comedy,27151490,1929
Bad Boys II,Action,138540870,1920
Bad Company,Action,30157016,1937
La mala educaciÛn,Drama,5211842,1914
Bad Lieutenant: Port of Call New Orleans,Drama,1702112,1987
The Bad News Bears,Comedy,32868349,1994
Burn After Reading,Black Comedy,60355347,1953
Bait,Action,15325127,1973
Boys and Girls,Romantic Comedy,21799652,1994
Black and White,Drama,5241315,1961
Bangkok Dangerous,Action,15298133,1950
The Banger Sisters,Comedy,30306281,1957
Les invasions barbares,Drama,8460000,1982
Barney's Great Adventure,Adventure,11156471,1917
Basic Instinct 2,Thriller/Suspense,5946136,1995
Basic,Thriller/Suspense,26599248,1980
Batman Begins,Action,205343774,1974
Battlefield Earth: A Saga of the Year 3000,Action,21471685,1984
The Dark Knight,Action,533345358,1935
Bats,Horror,10155691,1984
The Battle of Shaker Heights,Comedy,280351,1984
Baby Boy,Drama,28734552,1990
The Curious Case of Benjamin Button,Drama,127509326,1930
Baby Mama,Comedy,60494212,1950
Bless the Child,Thriller/Suspense,29374178,1923
The Bachelor,Romantic Comedy,21731001,1975
The Broken Hearts Club: A Romantic Comedy,Comedy,1744858,1916
Be Cool,Comedy,55849401,1976
Big Daddy,Comedy,163479795,1961
Bedazzled,Comedy,37879996,1969
Body of Lies,Thriller/Suspense,39394666,1955
Blood Diamond,Action,57377916,1969
Mr. Bean's Holiday,Comedy,33302167,1965
Beautiful,Drama,3134509,1966
Beavis and Butt-head Do America,Comedy,63118386,1940
Bend it Like Beckham,Drama,32543449,1950
In the Bedroom,Drama,35930604,1984
Bee Movie,Comedy,126631277,1932
Artie Lange's Beer League,Comedy,475000,1979
Being John Malkovich,Black Comedy,22858926,1941
Behind Enemy Lines,Action,58855732,1937
Bella,Drama,8093373,1958
Beloved,Drama,22852487,1985
Les Triplettes de Belleville,Musical,7301288,1930
Beyond the Mat,Documentary,2047570,1970
The Benchwarmers,Comedy,59843754,1917
The Last Airbender,Adventure,131591957,1932
Beowulf,Adventure,82195215,1973
The Importance of Being Earnest,Comedy,8378141,1990
Beauty Shop,Comedy,36351350,1935
Better Luck Tomorrow,Drama,3802390,1953
Big Fat Liar,Comedy,47811275,1926
Big Fish,Drama,66432867,1947
Before Sunset,Drama,5792822,1956
The Big Hit,Action,27066941,1950
Birthday Girl,Romantic Comedy,4919896,1985
The Big Lebowski,Comedy,17498804,1973
Big Momma's House,Comedy,117559438,1946
Black Hawk Down,Action,108638745,1990
Eye of the Beholder,Thriller/Suspense,16500786,1978
The Big Bounce,Comedy,6471394,1970
Big Trouble,Comedy,7262288,1912
Billy Elliot,Drama,21995263,1935
Bicentennial Man,Drama,58220776,1977
Birth,Drama,5005899,1955
Becoming Jane,Romantic Comedy,18663911,1964
Bridget Jones: The Edge Of Reason,Romantic Comedy,40203020,1940
Bridget Jones's Diary,Romantic Comedy,71500556,1916
The Bank Job,Thriller/Suspense,30060660,1956
Blade,Action,70141876,1918
The Blair Witch Project,Horror,140539099,1915
Blast from the Past,Comedy,26613620,1933
Blade 2,Action,81676888,1959
Blade: Trinity,Action,52397389,1987
Blades of Glory,Comedy,118594548,1934
The Blind Side,Drama,255959475,1951
Blood Work,Thriller/Suspense,26199517,1959
Zwartboek,Thriller/Suspense,4398392,1920
Black Christmas,Horror,16235738,1929
Black Snake Moan,Drama,9396870,1956
Black Water Transit,Drama,0,1948
Blindness,Thriller/Suspense,3073392,1994
"Legally Blonde 2: Red, White & Blonde",Comedy,90639088,1988
Legally Blonde,Comedy,96493426,1995
Blood and Wine,Thriller/Suspense,1083350,1915
Blow,Drama,52990775,1956
Ballistic: Ecks vs. Sever,Action,14294842,1950
Blue Crush,Drama,40118420,1973
Bamboozled,Drama,2185266,1930
A Beautiful Mind,Drama,170708996,1971
Big Momma's House 2,Comedy,70165972,1978
The Boondock Saints,Action,30471,1939
Bandidas,Western,0,1941
Bandits,Comedy,41523271,1930
Bobby,Drama,11242801,1939
The Book of Eli,Action,94835059,1900
Boogeyman,Horror,46752382,1947
Bolt,Comedy,114053579,1979
The Other Boleyn Girl,Drama,26814957,1930
The Bone Collector,Thriller/Suspense,66488090,1918
Bones,Horror,7316658,1997
Bon Voyage,Comedy,2353728,1944
Boogie Nights,Drama,26410771,1950
Borat,Comedy,128505958,1970
The Bourne Identity,Action,121468960,1982
The Bourne Supremacy,Action,176087450,1911
The Bourne Ultimatum,Action,227471070,1934
The Borrowers,Comedy,22619589,1950
My Boss's Daughter,Romantic Comedy,15549702,1940
Bounce,Drama,36779296,1929
Bowling for Columbine,Documentary,21576018,1968
Boys Don't Cry,Drama,11540607,1942
The Boy in the Striped Pyjamas,Drama,9030581,1945
Bulletproof Monk,Action,23010607,1958
Heartbreakers,Comedy,40334024,1917
Bride & Prejudice,Musical,6601079,1924
Beyond Borders,Drama,4426297,1976
Bride Wars,Comedy,58715510,1920
Breakfast of Champions,Comedy,178287,1938
Brigham City,Thriller/Suspense,852206,1973
Brick,Drama,2075743,1982
Bringing Out The Dead,Black Comedy,16640210,1950
Breakdown,Thriller/Suspense,50159144,1977
Brooklyn's Finest,Thriller/Suspense,27163593,1942
Brokeback Mountain,Drama,83043761,1988
Breakin' All the Rules,Romantic Comedy,12232382,1992
The Break Up,Romantic Comedy,118806699,1923
An Alan Smithee Film: Burn Hollywood Burn,Comedy,45779,1936
Brooklyn Rules,Drama,458232,1963
Boiler Room,Drama,16963963,1955
The Brothers Solomon,Comedy,900926,1915
The Brothers,Comedy,27457409,1969
Brown Sugar,Romantic Comedy,27362712,1986
Bright Star,Drama,4444637,1930
Brother,Thriller/Suspense,450594,1980
In Bruges,Comedy,7800825,1950
The Brown Bunny,Drama,366301,1950
Barbershop 2: Back in Business,Comedy,65070412,1952
Barbershop,Comedy,75781642,1939
Best in Show,Comedy,18621249,1965
Bad Santa,Comedy,60060328,1930
Inglourious Basterds,Action,120831050,1926
Blue Streak,Action,68208190,1928
The Butterfly Effect,Thriller/Suspense,57924679,1950
"O Brother, Where Art Thou",Comedy,45506619,1962
Batman & Robin,Action,107325195,1980
Boat Trip,Comedy,8586376,1977
Bubba Ho-Tep,Comedy,1239183,1962
Bubble,Drama,145382,1982
Bubble Boy,Comedy,5002310,1994
Buffalo '66,Comedy,2380606,1930
Buffalo Soldiers,Comedy,353743,1991
Bulworth,Comedy,26528684,1977
W.,Drama,25534493,1919
Bowfinger,Comedy,66458769,1986
Bewitched,Comedy,63313159,1900
Barnyard: The Original Party Animals,Comedy,72779000,1918
Beyond the Sea,Drama,6144806,1975
Cabin Fever,Horror,21158188,1930
CachÈ,Drama,3647381,1956
Cadillac Records,Drama,8138000,1931
Can't Hardly Wait,Comedy,25358996,1950
Capote,Drama,28750530,1984
Sukkar banat,Romantic Comedy,1060591,1950
Disney's A Christmas Carol,Drama,137855863,1973
The Rage: Carrie 2,Horror,17760244,1959
Cars,Comedy,244082982,1913
Cast Away,Drama,233632142,1964
Catch Me if You Can,Drama,164606800,1933
The Cat in the Hat,Comedy,101018283,1927
Cats Don't Dance,Musical,3588602,1911
Catwoman,Action,40202379,1925
Cecil B. Demented,Black Comedy,1276984,1930
The Country Bears,Adventure,16988996,1969
Center Stage,Drama,17200925,1916
The Corpse Bride,Adventure,53359111,1963
Connie & Carla,Comedy,8047525,1963
Collateral Damage,Action,40048332,1938
Crocodile Dundee in Los Angeles,Adventure,25590119,1981
Celebrity,Comedy,5078660,1986
The Cell,Thriller/Suspense,61280963,1976
Cellular,Thriller/Suspense,32003620,1938
City of Ember,Adventure,7871693,1986
Charlie and the Chocolate Factory,Comedy,206459076,1989
Catch a Fire,Thriller/Suspense,4299773,1927
Charlie's Angels: Full Throttle,Action,100814328,1988
Charlie's Angels,Adventure,125305545,1933
Chasing Amy,Romantic Comedy,12006514,1952
Chicago,Musical,170687518,1900
Chicken Little,Adventure,135386665,1961
Chicken Run,Adventure,106793915,1968
Cheaper by the Dozen,Comedy,138614544,1941
Cheaper by the Dozen 2,Comedy,82571173,1917
Cheri,Drama,2715657,1932
Chill Factor,Action,11263966,1960
Bride of Chucky,Horror,32404188,1918
Seed of Chucky,Horror,17016190,1956
Children of Men,Thriller/Suspense,35552383,1900
Chloe,Thriller/Suspense,3075255,1922
Love in the Time of Cholera,Drama,4617608,1964
Chocolat,Drama,71309760,1995
The Children of Huang Shi,Drama,1031872,1983
Les Choristes,Drama,3629758,1921
Chairman of the Board,Comedy,306715,1972
Chuck&Buck,Drama,1055671,1958
The Chumscrubber,Drama,49526,1970
Charlotte's Web,Drama,82985708,1933
Cinderella Man,Drama,61649911,1984
A Cinderella Story,Romantic Comedy,51438175,1968
City of Angels,Drama,78750909,1959
A Civil Action,Drama,56709981,1953
CJ7,Comedy,206678,1969
The Cookout,Comedy,11540112,1949
The Claim,Western,622023,1931
The Santa Clause 2,Comedy,139225854,1938
Cold Mountain,Drama,95632614,1981
Clean,Drama,138711,1943
Click,Comedy,137355633,1923
Code Name: The Cleaner,Comedy,8135024,1939
Closer,Drama,33987757,1913
Clerks II,Comedy,24148068,1967
Maid in Manhattan,Romantic Comedy,93932896,1959
It's Complicated,Romantic Comedy,112735375,1942
The Company,Drama,2281585,1918
Constantine,Action,75976178,1916
The Contender,Drama,17804273,1910
Die F‰lscher,Drama,5488570,1913
Control,Drama,871577,1930
Coach Carter,Drama,67264877,1932
Confessions of a Dangerous Mind,Drama,16007718,1953
Coco avant Chanel,Drama,6113834,1920
Agent Cody Banks 2: Destination London,Comedy,23514247,1939
Agent Cody Banks,Comedy,47545060,1967
Collateral,Action,100170152,1979
College,Comedy,4694491,1917
Come Early Morning,Drama,119452,1946
Con Air,Action,101117573,1929
Confidence,Drama,12212417,1960
Conspiracy Theory,Thriller/Suspense,76118990,1993
Contact,Drama,100920329,1996
The Cooler,Drama,8291572,1970
Copying Beethoven,Drama,355968,1964
Corky Romano,Comedy,23978402,1937
Coraline,Adventure,75286229,1977
Confessions of a Teenage Drama Queen,Comedy,29331068,1948
The Covenant,Thriller/Suspense,23364784,1950
Cop Land,Drama,44906632,1962
Couples Retreat,Comedy,109205660,1920
Cradle Will Rock,Drama,2899970,1932
Crank,Action,27838408,1960
Crash,Drama,3357324,1925
The Crazies,Horror,39123589,1985
Crazy in Alabama,Drama,1954202,1973
The Crew,Comedy,13019253,1987
Cradle 2 the Grave,Horror,34657731,1924
Crocodile Hunter: Collision Course,Comedy,28436931,1965
The In Crowd,Thriller/Suspense,5217498,1980
The Corruptor,Action,15164492,1916
Man cheng jin dai huang jin jia,Action,6566773,1947
Crash,Drama,54557348,1938
Crossover,Drama,7009668,1963
Crossroads,Drama,37188667,1975
The Count of Monte Cristo,Drama,54228104,1970
Cruel Intentions,Drama,38230075,1921
The Cry of the Owl,Thriller/Suspense,0,1927
Cry Wolf,Thriller/Suspense,10047674,1917
Crazy Heart,Drama,39462438,1972
crazy/beautiful,Drama,16929123,1900
The Last Castle,Drama,18208078,1950
Clockstoppers,Adventure,36985501,1930
Catch That Kid,Adventure,16703799,1970
Cats & Dogs,Comedy,93375151,1965
The City of Your Final Destination,Drama,493296,1937
Cidade de Deus,Drama,7563397,1943
City of Ghosts,Drama,325491,1957
City by the Sea,Drama,22433915,1917
Coyote Ugly,Drama,60786269,1944
Curious George,Comedy,58640119,1960
Cursed,Horror,19294901,1952
Civil Brand,Drama,254293,1941
Cloudy with a Chance of Meatballs,Comedy,124870275,1960
Charlie Wilson's War,Drama,66661095,1988
Cyrus,Comedy,7426671,1916
Daddy Day Camp,Comedy,13235267,1946
Daddy Day Care,Comedy,104148781,1923
The Black Dahlia,Thriller/Suspense,22672813,1944
Diary of a Mad Black Woman,Drama,50406346,1992
Dance Flick,Comedy,25662155,1944
"Dancer, Texas Pop. 81",Comedy,574838,1957
Daredevil,Action,102543518,1913
Dark City,Thriller/Suspense,14435076,1994
His Dark Materials: The Golden Compass,Adventure,70107728,1932
Donnie Darko,Drama,1270522,1957
Dark Water,Thriller/Suspense,25473093,1949
Win a Date with Tad Hamilton!,Romantic Comedy,16980098,1994
Date Movie,Comedy,48548426,1924
Date Night,Comedy,98711404,1931
Dawn of the Dead,Horror,58990765,1958
Daybreakers,Thriller/Suspense,30101577,1928
Day of the Dead,Horror,0,1994
The Great Debaters,Drama,30226144,1953
Double Jeopardy,Action,116735231,1940
Deep Blue Sea,Action,73648228,1939
Drive Me Crazy,Comedy,17843379,1910
Dave Chappelle's Block Party,Documentary,11718595,1981
Dancer in the Dark,Musical,4157491,1921
Diary of the Dead,Horror,952620,1971
Dear John,Drama,80014842,1913
Dear Wendy,Drama,23106,1929
D.E.B.S.,Action,96793,1950
Deconstructing Harry,Romantic Comedy,10686841,1950
Mr. Deeds,Comedy,126293452,1990
The Deep End of the Ocean,Drama,13508635,1935
Deep Rising,Action,11203026,1977
"Definitely, Maybe",Romantic Comedy,32241649,1976
Death at a Funeral,Comedy,42739347,1981
DÈj‡ Vu,Thriller/Suspense,64038616,1910
Delgo,Adventure,915840,1911
Despicable Me,Comedy,244885070,1928
Deuce Bigalow: European Gigolo,Comedy,22400154,1976
Deuce Bigalow: Male Gigolo,Comedy,65535067,1936
The Devil's Own,Thriller/Suspense,42885593,1900
Darkness Falls,Horror,32539681,1955
Defiance,Drama,28644813,1936
A Dog of Flanders,Drama,2165637,1971
Dragonfly,Drama,30063805,1926
The Dead Girl,Thriller/Suspense,19875,1920
The Lords of Dogtown,Action,11273517,1960
Dick,Comedy,6276869,1946
Live Free or Die Hard,Action,134529403,1987
Digimon: The Movie,Adventure,9628751,1945
Dirty Work,Comedy,10020081,1995
Banlieue 13,Action,1200216,1991
Disaster Movie,Comedy,14190901,1923
District 9,Thriller/Suspense,115646235,1925
Disturbing Behavior,Thriller/Suspense,17507368,1975
Le Scaphandre et le Papillon,Drama,5990075,1986
Dark Blue,Drama,9237470,1947
De-Lovely,Drama,13337299,1978
Madea's Family Reunion,Comedy,63257940,1915
Dead Man on Campus,Black Comedy,15064948,1988
Drowning Mona,Comedy,15427192,1923
Doomsday,Action,11008770,1969
